Ticker,Sector,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Total Cash Per Share,Total Debt/Equity,,0
EER,Energy,3560,22720,NA,NA,NA,272.55,0.07,1718.9,-28.9,0,36.15,,
EFE,Materials,1980,1700,NA,NA,NA,1.49,0.3,1.29,2.27,0,NA,,
EAS,Diversified Financials,20550,18180,NA,NA,NA,1.88,1.07,1.66,8.12,0.11,3.49,,
EBT,Consumer Services,65370,61190,11.04,11.97,0.52,1.61,1.96,1.47,10.49,0.43,4.68,,
ECG,Commercial Services & Supplies,117700,122820,NA,NA,NA,23.27,2.68,28.12,-26,0,NA,,
EGP,Consumer Services,3680000,4460000,23.35,16.52,0.91,1.8,1.21,2.2,10.75,0.24,29.24,,
EAR,Materials,9120,6510,NA,NA,NA,225.95,71,204.42,-5.34,0.01,NA,,
ECO,Banks,8510,209120,NA,NA,NA,0.13,0.26,3.22,NA,0.01,614.61,,
EPM,Energy,3170,2610,NA,NA,NA,32.2,0.71,28.18,-0.38,0,NA,,
ECX,Diversified Financials,744640,1580000,NA,12.4,1.2,0.99,1.23,4.1,9.32,0.42,403.09,,
ECV,Commercial Services & Supplies,20270,16230,NA,NA,NA,1.18,1.51,0.92,-5.6,0.21,15.19,,
EDE,Energy,16830,13100,NA,NA,NA,5.04,2.57,4.83,-10.07,0,10.86,,
ENN,Consumer Services,122220,145630,NA,11.53,NA,NA,3.05,NA,NA,0.11,34.8,,
ELD,"Food, Beverage & Tobacco",312330,402440,14.63,9.1,0.23,0.22,2.67,0.28,11.47,0.33,96.31,,
EOS,Capital Goods,56850,42520,NA,NA,NA,2.54,58.33,1.81,-12.54,0.1,NA,,
ELM,Materials,70640,74290,NA,NA,NA,NA,0.69,NA,NA,0.02,NA,,
ELT,Materials,7670,5780,NA,NA,NA,108.3,1.25,81.74,-2.35,0,NA,,
EXR,Energy,1030,-7.04,NA,NA,NA,26.71,0.2,-0.23,0.01,0,NA,,
ELK,Energy,4820,22670,NA,NA,NA,19.36,1.71,93.14,-6.18,0,681.22,,
ELX,Health Care Equipment & Services,35520,38340,30,11,NA,0.6,0.94,0.64,11.28,0.04,16.66,,
EYM,Materials,5530,4240,NA,NA,NA,797.23,1.25,743.15,-2.66,0,NA,,
EMB,Capital Goods,16180,15380,11.54,NA,NA,0.43,1.3,0.41,5.13,0.37,NA,,
EHL,Capital Goods,56050,420350,NA,NA,-0.03,0.26,0.21,1.84,8.83,0.06,138.51,,
EMR,Energy,26130,12000,NA,NA,NA,806.94,1.5,352.89,-12.88,0.01,NA,,
EML,Diversified Financials,107230,110600,NA,20,NA,14.08,2.58,14.09,-30.38,0.03,NA,,
EMG,Materials,3180,347.87,NA,NA,NA,33.65,0.48,3.44,-4.53,0.01,NA,,
ERM,Materials,11330,9340,NA,NA,NA,43.19,0.43,35.6,-7.68,0.01,NA,,
ERX,Materials,17740,17740,NA,NA,NA,NA,4.76,NA,-48.33,NA,NA,,
EEG,Energy,8620,46450,NA,NA,NA,0.36,0.19,1.96,8.21,0.01,92.66,,
EGO,Energy,45520,34170,5,NA,NA,2.18,0.71,2.11,6.88,0,1.22,,
ERL,Materials,NA,311.51,NA,NA,NA,NA,NA,NA,-0.43,0,NA,,
EPD,Software & Services,92150,110640,17.02,8.89,NA,0.98,1.79,1.25,15.7,0.07,63.96,,
EMU,Materials,2260,817.07,NA,NA,NA,NA,0.75,-47.05,-0.93,0.02,NA,,
ENR,Materials,24220,20430,NA,NA,NA,42.35,1.02,38.38,-42.44,0.02,NA,,
EVR,Materials,247890,502180,NA,12,NA,0.43,0.54,0.84,3.3,0.14,65.74,,
ENB,Utilities,11210,7760,NA,NA,NA,NA,2.53,NA,-19.94,0.01,NA,,
ENX,Not Applic,NA,125.7,NA,NA,NA,NA,1.3,NA,NA,0.01,NA,,
EMX,Energy,34110,24000,NA,NA,NA,337.07,4.21,225.12,-8.18,0.01,NA,,
EAX,Commercial Services & Supplies,28550,35700,25,4.58,NA,1.03,1.92,1.22,6.08,0.07,25.38,,
ENE,Utilities,1200000,1740000,26.86,15.58,1.31,2.81,3.29,4.11,9.25,0.22,161.16,,
EME,Energy,28310,6440,NA,NA,NA,1682.25,0.51,382.65,-4.85,0.11,NA,,
EOL,Software & Services,5530,4510,5.34,NA,NA,1.27,1.27,1.03,4.75,0.1,NA,,
ERA,Energy,670450,369370,NA,NA,NA,1.67,0.9,0.92,-2.97,0.57,NA,,
EGY,Capital Goods,NA,1990,NA,NA,NA,0.06,0.6,0.17,-1.54,0.01,536.61,,
EVE,Energy,2160,1160,NA,NA,NA,NA,1,-4.62,-0.14,0,NA,,
EWC,Utilities,658980,1060000,38,NA,NA,3.53,1.06,5.92,11.95,0,70.26,,
ERJ,Utilities,24780,27460,NA,NA,NA,NA,NA,NA,-3.26,0,NA,,
EGG,Media,66770,41080,NA,13,6.67,0.32,0.61,0.2,4.8,0.3,1.17,,
EGN,Capital Goods,31090,55460,NA,NA,NA,0.22,0.41,0.39,5.49,0.02,29.02,,
E88,Retailing,97440,57560,NA,NA,NA,1.01,1.63,0.88,-3.68,0.02,NA,,
ETE,Energy,11750,4040,NA,NA,NA,4.2,0.49,1.45,-3.31,0.02,NA,,
ESN,#N/A,85570,57100,NA,NA,NA,19603.79,NA,13464.87,-57.75,0,NA,,
ENT,Materials,6040,6070,NA,NA,NA,NA,0.43,NA,-9.04,0,NA,,
ENU,Energy,2460,1170,NA,NA,NA,NA,0.55,NA,-1.85,0.02,NA,,
ERR,Software & Services,3600,46.99,NA,NA,NA,2.66,0.83,0.04,-0.04,0.36,0.64,,
EVM,Utilities,36880,35770,NA,NA,NA,328.5,72,312.26,-17.44,0,10.8,,
ESI,Commercial Services & Supplies,61600,56220,NA,NA,NA,100.45,8,97.64,-34.21,0,15.7,,
EGL,Capital Goods,3570,2490,2,NA,NA,0.11,0.22,0.11,1.78,0.02,19.75,,
EPA,Not Applic,6160,4080,NA,NA,NA,165.69,2,110.03,-7.47,0,NA,,
EQX,Materials,29240,-8800,NA,NA,NA,19.57,0.61,-6.02,1.48,0.31,NA,,
EQT,Diversified Financials,417900,398930,27.67,16.45,1.85,5.9,1.77,5.76,19.34,1.11,NA,,
EQE,Materials,6450,5260,NA,NA,NA,NA,4.5,NA,-6.12,0,NA,,
ERI,Materials,6700,5000,NA,NA,NA,589.67,1.29,638.63,3.16,0,7.67,,
EPW,Utilities,584350,546500,15.35,17.43,1.57,0.27,1.74,0.25,5.89,1.21,67.05,,
ESV,Software & Services,89030,99220,6.09,33.5,NA,2.98,1.62,3.17,-270.36,0.02,5.43,,
ESM,Materials,4370,4250,NA,NA,NA,NA,NA,NA,NA,0,NA,,
EHE,Health Care Equipment & Services,1110000,1490000,NA,21.07,1.65,6.32,1.96,8.7,44.37,0.21,65.87,,
ESR,Materials,NA,151.92,NA,NA,NA,14.22,0.16,4.31,-0.12,0,NA,,
EPX,Utilities,120930,115450,43.62,43.62,-2.48,5.51,1.66,5.28,8.01,0.1,NA,,
ESK,Software & Services,19510,23760,NA,NA,NA,2.72,4.96,3.31,-37.89,0.01,119.17,,
EUM,Materials,1490,398.38,NA,NA,NA,NA,0.6,NA,-0.47,0.02,NA,,
EBG,Consumer Services,16750,37820,5.67,NA,NA,0.68,0.58,1.59,7.45,0,82.94,,
EGH,Real Estate,97670,93990,54.5,18.17,NA,8.04,5.09,8.92,63.36,0.02,75.55,,
EZL,Diversified Financials,154310,106960,20,NA,NA,3.6,1.31,2.52,NA,0.3,NA,,
EVN,Materials,799190,923790,14.29,NA,NA,1.24,0.96,1.45,3.93,0.07,18.97,,
EVO,Consumer Services,177080,178260,NA,NA,NA,NA,NA,NA,NA,0,NA,,
EVZ,Capital Goods,2920,11790,NA,NA,NA,0.04,0.16,0.17,37.42,0.01,63.41,,
ERD,Materials,1280,1130,NA,NA,NA,101.48,3.75,89.68,0.29,0,NA,,
EXM,Materials,NA,448.95,NA,NA,NA,152.88,0.05,145.01,-0.56,0,NA,,
EXG,Materials,37270,36160,NA,7.6,NA,296.83,1.46,304.08,-12.68,0.01,8.09,,
EXE,Energy,16070,9450,NA,NA,NA,21.68,2.33,11.54,-14.37,0.02,NA,,
EXU,Energy,1280,7420,NA,NA,NA,NA,2,NA,-65.72,0,NA,,
EXC,Materials,2720,2100,NA,NA,NA,17.07,0.58,13.41,-2.93,0,NA,,
EZA,Commercial Services & Supplies,7330,-2560,1.45,NA,NA,0.49,0.75,-0.17,-1.16,0.16,NA,,
FXJ,Media,2260000,2260000,39.58,13.57,-4.92,1.24,1.15,1.23,9.17,0.12,12.62,,
FCN,Materials,2200,679.39,NA,NA,NA,44.06,2.4,14.76,-2.33,0.01,NA,,
FAN,Consumer Durables & Apparel,232330,230380,29.22,16.07,1.38,0.5,2.06,0.49,11.42,0.24,13.33,,
FAR,Energy,291030,229760,NA,NA,NA,467.1,3.92,365.11,-24.66,0.02,NA,,
FRM,"Food, Beverage & Tobacco",15450,24830,3.46,NA,NA,0.16,0.57,0.26,2.28,0.02,39.19,,
FFG,Diversified Financials,26040,25930,NA,NA,NA,23,1.61,25.55,-21.05,NA,NA,,
FEL,Materials,1320,898.22,0.75,NA,NA,61.8,3,42.11,-1.14,0,NA,,
FDC,Real Estate,4210000,5520000,9.67,15.53,3.25,7.54,1.12,10.1,18.79,0.05,39.03,,
FEO,Materials,19230,5130,3.04,NA,NA,NA,0.34,NA,-2.84,0.02,NA,,
FWL,Materials,NA,1950,NA,NA,NA,18.18,0.75,52.69,-2.54,0,155.21,,
FCR,Materials,6190,4650,NA,NA,NA,142.58,5,129.37,-2.19,0,50.12,,
FTZ,Materials,10320,9940,NA,NA,NA,NA,2.65,NA,-9.84,0.02,5.22,,
FFI,"Food, Beverage & Tobacco",34340,36160,10.41,NA,NA,1.12,1.15,1.19,12.09,0.12,10.1,,
FID,Diversified Financials,55280,46430,13.46,NA,NA,2.29,2.77,1.92,6.14,0.34,NA,,
FRI,Real Estate,282140,333730,9.76,NA,NA,1.68,1.22,1.99,8.21,0.23,44.01,,
FND,Materials,111210,102170,NA,1.5,1.51,11.2,1.99,10.26,-7.52,0.07,58.44,,
FSE,Energy,17740,50660,NA,NA,NA,17819.81,0.45,51640.27,-102.95,0,93.5,,
FIE,Materials,2260,1420,NA,NA,NA,106.6,1.79,66.92,10.14,0.01,NA,,
FGF,Not Applic,5340,1180,NA,NA,NA,511.49,2.33,312.73,NA,0.01,87.82,,
FPH,Health Care Equipment & Services,3580000,3480000,49.69,23.93,1.94,7.73,11.9,7.6,27.21,0.01,24.68,,
FRY,Materials,5040,1450,NA,NA,NA,118.4,1.36,115.45,-0.77,0,NA,,
FZR,Energy,20430,7330,NA,NA,NA,28.1,1.7,10.08,NA,0.13,NA,,
FGI,Capital Goods,3240,5800,NA,NA,NA,0.1,0.38,0.21,-31.69,0.01,49.73,,
FWD,Consumer Durables & Apparel,95530,151130,NA,12.04,1.42,0.29,0.44,0.45,5.02,0.23,35.5,,
FBU,Materials,5370000,6620000,25,12.38,1.36,0.87,2.15,1.09,11.37,0.13,55.27,,
FXL,Diversified Financials,1020000,2150000,16.58,10.15,1.4,4.57,2.55,9.66,NA,0.39,295.51,,
FLT,Consumer Services,4380000,3360000,22.27,15.47,2.76,1.92,3.8,1.49,8.01,10.95,2.79,,
FMS,Materials,49730,39540,NA,NA,NA,1280.71,0.64,1018.27,-8.91,0,NA,,
FML,Materials,58480,-5560,NA,NA,NA,11.33,0.56,-1.06,2.9,0.36,0.15,,
FET,Real Estate,527110,607220,5.21,NA,NA,9.09,1.27,12.46,NA,0,46.2,,
FLK,Real Estate,154360,155560,30,10.5,18.64,3.77,1.34,3.63,108.84,0.04,18.67,,
FSF,"Food, Beverage & Tobacco",537380,560540,NA,NA,NA,NA,1.01,-17.91,NA,NA,NA,,
FRC,Materials,5360,2190,NA,NA,NA,59.42,1.76,45.25,-4.9,0.01,NA,,
FMG,Materials,7220000,15040000,5.36,NA,-0.57,0.66,0.93,1.4,4.07,0.51,118.78,,
FOT,Materials,7150,4500,NA,NA,NA,NA,2.7,NA,-31.16,0.12,NA,,
FXR,Materials,1700,6570,NA,NA,NA,3.1,0.15,12.1,-4.41,0,45.11,,
FOY,Materials,6820,6910,NA,NA,NA,36.54,2,40.03,-7.49,0,4.69,,
FLR,"Food, Beverage & Tobacco",1710,10740,NA,NA,NA,1.33,0.21,8.35,-15.67,0,116.62,,
FNP,"Food, Beverage & Tobacco",454550,474290,7.31,24.5,1.16,4.91,2.52,5.23,31.27,0.01,14.96,,
FLN,Software & Services,535960,483750,NA,23.9,NA,19.82,30.38,18.54,-215.38,0.05,NA,,
FRE,Telecommunication Services,1120,670.8,NA,NA,NA,12.24,NA,8.5,NA,0,NA,,
FCG,Materials,8580,9460,NA,NA,NA,92.07,NA,101.62,NA,0.01,NA,,
FNT,Materials,3490,2610,NA,NA,NA,14341.17,2.5,19608.71,-2.14,0,NA,,
FSA,Diversified Financials,153240,391700,10.56,8.75,NA,2.23,2.35,5.7,NA,0.15,372.2,,
FUN,Retailing,17350,59020,NA,NA,-37.14,0.15,0.44,0.52,-5.72,0.01,111.86,,
FFT,Technology Hardware & Equipment,92500,93060,NA,NA,NA,7.01,12.54,7.07,41.34,0.01,9.71,,
FYI,Materials,2090,1940,NA,NA,NA,NA,3.75,NA,-2.97,0,NA,,
GUD,Consumer Durables & Apparel,737490,782650,21.47,14.58,1.01,1.08,2.9,1.33,12.94,0.59,54.63,,
GEM,Consumer Services,1360000,1570000,23.29,12.1,0.69,2.76,2.42,3.26,15.25,0.34,65.16,,
GRB,"Food, Beverage & Tobacco",19370,28000,NA,4.9,NA,0.74,1.14,1.07,-620.56,0,51.3,,
GXY,Materials,39800,128310,NA,NA,NA,1096.21,0.86,3669.12,-22.18,0.01,202.2,,
GAP,Consumer Durables & Apparel,59490,87480,15.38,NA,NA,0.41,0.69,0.61,7.9,0.06,49.28,,
GLL,Energy,16740,-1440,NA,NA,NA,15.06,0.83,-1.31,0.2,0.13,NA,,
GJT,Real Estate,191440,188700,13.12,9.05,9.58,7.73,0.85,7.53,NA,0.05,NA,,
GGX,Energy,5520,9910,NA,NA,NA,100.81,0.64,187.92,-12.72,0,59.64,,
GCY,Materials,15150,12740,NA,NA,NA,88.33,0.58,84.52,-14.24,0,NA,,
GML,Materials,9100,12180,NA,NA,NA,NA,0.78,NA,NA,0,NA,,
GZL,Consumer Durables & Apparel,135760,166450,11.75,NA,NA,0.48,1.77,0.58,10,0.18,48.27,,
GBX,Energy,3770,2940,NA,NA,NA,NA,5,NA,-7.43,0,NA,,
GBM,Materials,2500,2860,NA,NA,NA,258.55,1.5,296.03,-1.07,0,51.48,,
GBZ,Materials,9480,7030,NA,NA,NA,38.51,0.7,29.35,-9.46,0,NA,,
GBT,Software & Services,369420,371300,29.37,19.14,1.74,3.51,6.27,3.53,20.38,0.05,0.81,,
GDI,Real Estate,498490,812690,NA,10,0.35,8.97,22.5,14.26,20.42,0.03,55.9,,
GBI,Pharmaceuticals & Biotechnology,32830,33720,NA,NA,NA,119.32,10,124.46,-14.76,0.02,64.82,,
GMM,Materials,10660,7940,NA,NA,NA,216.82,NA,191.23,-18.93,0,NA,,
GHC,Real Estate,356640,428350,15,16.8,2.84,10.14,1.55,14.82,NA,0.01,70.01,,
GNE,Utilities,1700000,2450000,45.95,NA,NA,1.09,1.22,1.57,10.34,0.02,52.72,,
GMD,Materials,1380,1280,NA,NA,NA,161.42,NA,173.09,-0.61,0,NA,,
GES,Materials,12730,13490,NA,NA,NA,2601.93,1.14,4557.75,-6.27,0,68.24,,
GSS,Pharmaceuticals & Biotechnology,39400,18820,NA,NA,NA,35.37,9.43,26.88,-9.68,NA,NA,,
GTG,Pharmaceuticals & Biotechnology,60000,29920,NA,NA,NA,7.59,NA,7.88,-2.91,0,495.73,,
GTK,Software & Services,151210,139820,49.52,NA,NA,5.32,3.15,4.97,16.46,0.05,0,,
GMA,Banks,2040000,1630000,9.52,7.66,-0.68,4.56,0.8,3.74,5.23,0.88,5.54,,
GDY,Utilities,15690,-16530,NA,NA,NA,NA,0.41,NA,1.83,0.08,NA,,
GPR,Materials,19740,15590,NA,NA,NA,282.58,0.75,223.14,-9.91,0.01,0.06,,
GID,Health Care Equipment & Services,61630,31090,NA,NA,NA,28.02,1.76,12.25,-0.66,0.08,0.01,,
GBG,Materials,35890,-4020,NA,NA,-0.01,3330.45,0.68,-365.12,0.74,0.03,NA,,
GIP,Materials,5690,7690,NA,NA,NA,5.84,1,10.87,-93.88,0,867.39,,
GLA,Materials,1860,1480,NA,NA,NA,155.95,0.36,116.63,-0.88,0,NA,,
GLN,Materials,1450,999.86,NA,NA,NA,87.87,3,60.71,-3.71,0,NA,,
GLE,Consumer Durables & Apparel,14820,32590,4.26,NA,NA,0.07,0.27,0.15,7.25,0.19,62.79,,
GCS,Capital Goods,104150,132480,13,6.5,NA,0.58,0.39,0.92,5.95,0.08,28.98,,
GSC,Materials,1630,1070,NA,NA,NA,20.12,0.33,16.15,-1.96,0,NA,,
GLH,Health Care Equipment & Services,12250,10680,9.62,NA,NA,2.76,3.75,2.41,8.47,0.04,2.95,,
GFL,Diversified Financials,13730,13120,320,NA,NA,44.64,1.06,42.68,NA,0,NA,,
GXN,Materials,2780,1050,NA,NA,NA,11702.29,NA,30892.08,-3.12,0,NA,,
GBP,Energy,7580,-6430,NA,NA,NA,NA,0.54,NA,2.16,0.07,NA,,
GRF,Diversified Financials,74120,67080,156,NA,NA,43.57,1.04,38.73,NA,0.17,NA,,
GLB,Consumer Durables & Apparel,45610,36640,NA,NA,NA,0.38,1.51,0.31,12.81,0.22,NA,,
GBE,Materials,12210,-5260,NA,NA,NA,NA,0.25,NA,1.38,0.04,NA,,
GME,Materials,30530,22000,NA,NA,NA,300.67,0.9,204.68,-95.57,0,NA,,
GCN,Software & Services,4990,7960,NA,NA,NA,26.79,NA,42.98,-11.5,0,NA,,
GFY,Retailing,130970,156170,36.52,9.85,0.81,0.75,1.36,0.88,16.04,0.06,20.48,,
GMN,Materials,6900,5350,NA,NA,NA,NA,2.92,NA,NA,0,NA,,
GOR,Materials,241010,255330,NA,NA,NA,295.55,4.42,302.04,-120.35,0.04,NA,,
GCR,Materials,6240,5430,NA,NA,NA,419.7,0.44,387.76,-4.63,0.01,NA,,
GED,Materials,1860,1620,NA,NA,NA,NA,0.5,NA,-2.53,0.01,6.63,,
GMR,Materials,8630,8010,NA,NA,NA,NA,3,NA,-5.03,0,79.17,,
GMY,Banks,13630,11920,108.75,29,NA,4.23,0.92,3.7,NA,0.12,NA,,
GPH,Materials,1440,863.89,NA,NA,NA,54.59,3.5,37.2,-1,0.01,NA,,
GSE,Materials,NA,1390,NA,NA,NA,16.35,0.67,15.22,-2.12,0,NA,,
GMG,Real Estate,10730000,13360000,10.76,15.3,2.75,6.68,1.66,8.3,20.77,0.28,38.08,,
GOW,Diversified Financials,151830,195850,10.84,NA,NA,6.67,0.89,8.6,15.36,0.26,28.76,,
GPS,Real Estate,13080,18560,NA,NA,NA,0.73,NA,1.04,-8.26,0.03,NA,,
GPT,Real Estate,7790000,10390000,11.9,14.6,3.24,11.37,1.07,15.86,25.14,0.05,41.3,,
GNG,Capital Goods,136120,82010,10.4,12.93,NA,0.81,2.73,0.5,5.19,0.31,1.81,,
GNC,"Food, Beverage & Tobacco",2090000,3290000,68.21,19.87,2.63,0.51,1.14,0.82,15.21,1,77.49,,
GGE,Energy,5240,1550,NA,NA,NA,0.7,0.27,0.21,0.42,0,NA,,
GBA,Diversified Financials,NA,767.81,NA,NA,NA,1.34,0.1,1.35,-1.24,0,0.72,,
GRR,Materials,162030,20570,NA,NA,NA,0.56,0.31,0.07,0.16,0.13,0.12,,
GTE,Materials,2320,2120,NA,NA,NA,382.57,0.31,444.67,-1.71,0,NA,,
GNV,Commercial Services & Supplies,2320,2590,NA,NA,NA,6.13,NA,10.28,-2.4,0,NA,,
GXL,Health Care Equipment & Services,719870,959630,NA,15.24,1.25,1.34,1.8,1.82,17.59,0.26,58.56,,
GER,Utilities,22230,16620,NA,NA,NA,5.3,8.18,4.96,-39.84,0.01,NA,,
GGG,Materials,49180,45230,NA,NA,NA,73.89,0.76,59.43,-9.79,0.01,NA,,
GPP,Energy,1020,791.08,NA,NA,NA,NA,0.37,-61.22,-0.5,0,9.04,,
GRV,Energy,1870,1950,NA,NA,NA,NA,0.36,NA,NA,0,5.61,,
GOZ,Real Estate,1760000,2580000,8.27,14.09,7.38,8.94,1.33,13.49,16.39,0.05,65.91,,
GRY,Materials,26490,5430,NA,NA,0.07,23.4,0.96,4.53,-1,0.06,NA,,
GTR,Materials,1750,1540,NA,NA,NA,21.89,NA,22.7,-3.04,0,NA,,
GUF,Energy,42740,155780,NA,NA,NA,NA,0.88,NA,-10.3,0,323.96,,
GLF,Materials,29290,17840,NA,NA,NA,16.83,11,15.25,NA,0,NA,,
GMC,Materials,3500,2730,NA,NA,NA,NA,NA,NA,-3.99,0,NA,,
GUL,Materials,2250,-2220,NA,NA,NA,7.19,0.29,-7.57,2.37,0.03,3.88,,
GWA,Capital Goods,865710,904680,217.25,14.86,1.44,1.3,1.93,1.53,10.73,0.22,42.66,,
GWR,Materials,14410,-1840,NA,NA,NA,17.4,0.43,-2.23,2.88,0.07,0.02,,
HMX,Materials,8660,7200,NA,NA,NA,1651.98,1.01,1523.89,-5.12,0.01,NA,,
HHM,Materials,3090,2980,NA,NA,NA,8394.89,5.5,8008.6,-13.12,0.01,36.19,,
HNR,Materials,1440,821.99,NA,NA,NA,9.57,0.05,5.45,-2.69,0,0.02,,
HSN,Software & Services,414360,404280,24.55,20.25,NA,4.29,5.14,4.3,15.01,0.04,2.55,,
HAO,Materials,24720,86190,NA,NA,NA,27.8,NA,96.92,-23.23,0,NA,,
HAR,Materials,5130,3870,NA,NA,NA,NA,0.12,NA,-1.85,0,NA,,
HMI,Materials,3270,1670,NA,NA,NA,NA,1.1,NA,-1.86,0.01,NA,,
HVN,Retailing,4990000,5770000,19.69,17.27,1.7,3.17,1.98,3.66,14.72,0.06,24.27,,
HHY,Not Applic,10310,6450,3.57,NA,NA,3.18,0.44,1.89,NA,0.05,NA,,
HAS,Materials,30330,16940,NA,NA,NA,NA,1.04,NA,NA,0.02,NA,,
HAV,Materials,49260,42780,NA,NA,NA,6601.77,1.32,5906.11,-29.74,0.02,2.29,,
HOG,Energy,2020,1800,NA,NA,NA,0.3,1.17,0.27,-0.15,0,NA,,
HAW,Materials,7710,-1680,NA,NA,NA,NA,0.36,11.75,0.67,0.05,NA,,
HSO,Health Care Equipment & Services,4730000,5570000,101.11,24.82,1.98,2.08,2.05,2.46,16.1,0.11,44.76,,
HSK,Materials,11220,4150,NA,NA,NA,NA,0.57,-143.09,-1.05,0.05,0.48,,
HLX,Materials,6980,5390,NA,NA,NA,61.49,0.48,47.52,-15.17,0.01,NA,,
HGG,Diversified Financials,6030000,5960000,15.53,0.29,8.19,5.77,3.79,5.68,18.19,0.49,14.68,,
HRR,Materials,39710,13800,NA,NA,NA,32.04,0.75,11.14,-3.02,0.07,NA,,
HFA,Diversified Financials,345380,329940,2.97,9.26,NA,4.77,1.36,4.58,12.7,0.13,5.7,,
HNG,Capital Goods,21040,18320,NA,NA,NA,0.41,1.12,0.36,-5.37,0.09,14.89,,
HPR,Utilities,14340,8730,NA,NA,NA,39.47,0.74,24.29,-7.66,0.03,0.44,,
HFR,Materials,479410,286690,NA,NA,NA,NA,4.36,NA,-33.23,0.13,NA,,
HIG,Materials,105870,123040,12.78,NA,NA,NA,1.45,NA,3.46,0.01,8.02,,
HEG,Materials,4460,2590,NA,NA,NA,11.99,0.19,7.29,-1.48,0,0.23,,
HLS,Diversified Financials,NA,-247.96,NA,NA,NA,18.03,0.36,-9.02,0.29,0.01,NA,,
HGO,Materials,43600,56680,10.93,9.83,NA,0.24,0.18,0.31,1.07,0.08,10.84,,
HIL,Technology Hardware & Equipment,129760,128510,6.67,5.6,-0.91,0.29,0.55,0.29,10.5,0.14,12.65,,
HIT,Commercial Services & Supplies,2320,-324.83,NA,NA,NA,0.21,0.74,-0.03,-0.38,0.06,NA,,
HJB,Commercial Services & Supplies,7170,4890,1.56,NA,NA,478.13,6.25,326.03,-8.76,0,NA,,
HDG,Materials,1450,1270,NA,NA,NA,4069.91,0.25,3968.56,-1.36,0,NA,,
HCT,Household & Personal Products,20020,20920,NA,NA,NA,3.47,10,3.62,-33.05,0,78.7,,
HOM,Banks,61100,254940,11.15,NA,NA,1.44,1.44,6.02,NA,0.11,486.57,,
HZN,Energy,122530,269020,5.88,9.4,-2.36,0.99,0.49,2.12,4.71,0.03,71.05,,
HOR,Materials,4750,5020,NA,NA,NA,127.52,1.94,114.87,-6.6,0,0.7,,
HCH,Materials,38250,51110,NA,NA,NA,NA,0.5,NA,-14.25,0.02,16.08,,
HPI,Real Estate,366720,598610,12.49,13.21,NA,8.66,1.29,14.02,NA,0.02,82.49,,
HRL,Utilities,11130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
HUB,Diversified Financials,61430,43980,NA,NA,NA,4.14,3.44,3.15,NA,0.19,NA,,
HGL,Real Estate,7760,28190,NA,NA,NA,0.59,0.97,2.15,9.48,0.01,273.93,,
HDX,Capital Goods,40690,83200,12.19,4.88,0.02,0.38,0.57,0.79,3.39,0.01,66.57,,
HHV,Diversified Financials,284430,185660,4.65,NA,NA,17.49,0.87,14.48,NA,0.21,NA,,
HHL,Diversified Financials,61420,46060,17.67,13.41,1.89,3.34,3.16,2.52,8.46,0.59,NA,,
HUO,"Food, Beverage & Tobacco",301310,314410,8.25,11.9,-1.27,1.56,1.19,1.6,4.84,0.69,18.82,,
HTA,Telecommunication Services,1180000,1360000,NA,NA,-0.61,1150.85,3.41,1254.91,NA,0,38.06,,
ICQ,Media,212040,200770,NA,NA,-1.98,75.83,6.13,71.34,-15.42,0.07,1.55,,
ICP,Technology Hardware & Equipment,2380,2210,NA,NA,NA,4.38,0.58,4.06,-2.08,0,NA,,
ICT,Consumer Services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
ICN,Energy,34160,13050,2.8,NA,NA,NA,0.45,NA,-1.95,0.03,NA,,
ICS,Health Care Equipment & Services,13080,10620,18.24,NA,NA,3.72,2.65,3.2,19.47,0.19,NA,,
IDT,Pharmaceuticals & Biotechnology,45910,48270,NA,NA,NA,4.16,1.18,4.38,-11.16,0,1.36,,
IIN,Telecommunication Services,1570000,1970000,24.83,20.12,2.82,1.47,4.25,1.86,11.49,0.1,109.16,,
IKW,Energy,4060,2220,NA,NA,NA,771.35,0.05,420.96,-2.1,0,NA,,
ILU,Materials,3510000,3580000,NA,14.74,0.31,4.38,2.42,4.51,14.91,0.24,11.17,,
IMI,Health Care Equipment & Services,NA,1100,NA,NA,NA,39686.04,NA,45754.8,NA,0,NA,,
IMA,Materials,13480,11830,NA,NA,NA,NA,9.87,NA,-2.53,0.01,NA,,
IMD,Materials,61620,93170,NA,7.12,-0.56,0.31,0.32,0.48,-13.49,0.04,20.99,,
IMF,Diversified Financials,300290,221760,12.88,7.78,-150,4.28,1.44,3.17,3.81,0.81,23,,
IMC,Pharmaceuticals & Biotechnology,16490,12670,NA,NA,NA,13.81,3.01,10.61,-4.16,0.06,NA,,
IPT,Materials,16970,11970,NA,NA,NA,14.28,1.58,10.07,59.06,0,NA,,
IPD,Health Care Equipment & Services,269820,237290,NA,NA,-287.5,68.99,6.86,59.41,-22.68,0.13,NA,,
IPC,Diversified Financials,2030,1460,NA,NA,NA,27.9,0.94,20.08,-8.01,0.2,NA,,
